计数,内容
4,"《六月二十七日望湖楼醉书五首·其五》
我本无家更安往，故乡无此好湖山"
4,"《满江红·怀子由作》
孤负当年林下意，对床夜雨听萧瑟"
4,"《南乡子·和杨元素时移守密州》
醉笑陪公三万场"
4,"《南乡子·重九涵辉楼呈徐君猷》
万事到头都是梦，休休，明日黄花蝶也愁"
4,"《念奴娇·中秋》
起舞徘徊风露下，今夕不知何夕"
4,"《千秋岁·次韵少游》
声摇苍玉佩，色重黄金带"
4,"《如梦令 水垢何曾相受》
轻手，轻手，居士本来无垢"
4,"《送子由使契丹》
单于若问君家世，莫道中朝第一人"
4,"《吾谪海南，子由雷州……》
他年谁作舆地志，海南万里真吾乡"
4,"《西江月·重九》
酒阑不必看茱萸，俯仰人间今古"
4,"《戏子由》
常时低头诵经史，忽然欠伸屋打头"
4,"《行香子·与泗守过南山晚归作》
何人无事，宴坐空山"
4,"《雪堂记》
作堂焉，号其正曰“雪堂”"
3,"《别海南黎民表》
?我本儋耳人，寄生西蜀州"
3,"《补子瞻赠姜唐佐秀才》
沧海何曾断地脉，白袍端合破天荒"
3,"《澄迈驿通潮阁二首·其二》
杳杳天低鹘没处，青山一发是中原"
3,"《出狱次前韵二首·其二》
平生文字为吾累，此去声名不厌低"
3,"《出狱次前韵二首·其一》
却对酒杯浑是梦，试拈诗笔已如神"
3,"《次韵孔文仲推官见赠》
我本麋鹿性，谅非伏辕姿"
3,"《答张文潜县丞书》
其文如其为人，故汪洋澹泊，有一唱三叹之声"
3,"《蝶恋花·密州上元》
灯火钱塘三五夜，明月如霜，照见人如画"
3,"《定风波·重阳》
尘世难逢开口笑，年少，菊花须插满头归"
3,"《东坡志林·二措大言志》
一云：“我平生不足，惟饭与睡耳”"
3,"《和陶归去来兮辞》
师渊明之雅放，和百篇之新诗"
3,"《浣溪沙·簌簌衣巾落枣花》
酒困路长惟欲睡，日高人渴漫思茶"
3,"《记游定惠院》
黄州定惠院东小山上，有海棠一株，特繁茂"
3,"《江城子·孤山竹阁送述古》
?欲棹小舟寻旧事，无处问，水连天"
3,"《江城子·江景》
何处飞来双白鹭，如有意、慕娉婷"
3,"《江城子·墨云拖雨过西楼》
墨云拖雨过西楼，水东流、晚烟收"
3,"《满江红·正月十三日送文安国还朝》
天岂无情？天也解、多情留客"
3,"《梦中作祭春牛文》
衣被丹青之好，本出泥涂；成毁须臾之间，谁为喜愠"
3,"《南歌子·和前韵》
我是世间闲客，此闲行"
3,"《菩萨蛮·七夕》
终不羡人间，人间日似年"
3,"《迁居临皋亭》
我生天地间，一蚁寄大磨"
3,"《少年游·润州作》
今年春尽，杨花似雪，犹不见还家"
3,"《守岁》
努力尽今夕，少年犹可夸"
3,"《文与可画筼筜谷偃竹记》
故画竹必先得成竹于胸中，执笔熟视"
3,"《辛丑十一月十九日，既与子由别……》
寒灯相对记畴昔，夜雨何时听萧瑟"
3,"《行香子·秋与》
但一回醉，一回病，一回慵"
3,"《游金山寺》
我家江水初发源，宦游直送江入海"
3,"《与二郎侄》
凡文字，少小时须令气象峥嵘，彩色绚烂，渐老渐熟"
3,"《章质夫送酒六壶，书至而酒不达……》
岂意青州六从事，化为乌有一先生"
3,"《醉蓬莱·重九上君猷》
笑劳生一梦，羁旅三年，又还重九"
3,"《醉翁操·琅然》
琅然，清圆，谁弹，响空山。无言"
2,"《薄薄酒二首》
薄薄酒，胜茶汤；粗粗布，胜无裳"
2,"《宝绘堂记》
君子可以寓意于物，而不可以留意于物"
2,"《采桑子·润州多景楼与孙巨源相遇》
多情多感仍多病，多景楼中，尊酒相逢"
2,"《初别子由》
我少知子由，天资和而清"
2,"《次荆公韵四绝》
劝我试求三亩宅，从公已觉十年迟"
2,"《调笑令·渔父》
归暮，归暮，长笛一声何处"
2,"《蝶恋花·暮春别李公择》
凭仗飞魂招楚些，我思君处君思我"
2,"《洞仙歌·咏柳》
又莫是东风逐君来，便吹散眉间一点春皱"
2,"《贺新郎·乳燕飞华屋》
枉教人梦断瑶台曲，又却是、风敲竹"
2,"《浣溪沙·感旧》
无可奈何新白发，不如归去旧青山，恨无人借买山钱"
2,"《浣溪沙·软草平莎过雨新》
日暖桑麻光似泼，风来蒿艾气如薰，使君元是此中人"
2,"《浣溪沙·山色横侵蘸晕霞》
梦到故园多少路，酒醒南望隔天涯，月明千里照平沙"
2,"《惠崇春江晚景二首·其二》
遥知朔漠多风雪，更待江南半月春"
2,"《惠山……烹小龙团，登绝顶，望太湖》
独携天上小团月，来试人间第二泉"
2,"《祭柳子玉文》
元轻白俗，郊寒岛瘦"
2,"《贾谊论》
贾生志大而量小，才有余而识不足也"
2,"《九日次韵王巩》
相逢不用忙归去，明日黄花蝶也愁"
2,"《李杞寺丞见和前篇，复用元韵答之》
东望海，西望湖，山平水远细欲无"
2,"《六月二十七日望湖楼醉书五首·其二》
水枕能令山俯仰，风船解与月裴回"
2,"《隆中》
诸葛来西国，千年爱未衰"
2,"《木兰花令·次欧公西湖韵》
与余同是识翁人，惟有西湖波底月"
2,"《南歌子·游赏》
山与歌眉敛，波同醉眼流"
2,"《南歌子·再用前韵》
自爱湖边沙路，免泥行"
2,"《南乡子·春情》
认得岷峨春雪浪，初来，万顷蒲萄涨渌醅"
2,"《菩萨蛮·买田阳羡吾将老》
来往一虚舟，聊从物外游"
2,"《器之好谈禅，不喜游山，山中笋……》
不怕石头路，来参玉版师"
2,"《琴诗》
若言声在指头上，何不于君指上听？"
2,"《青玉案·送伯固归吴中》
作个归期天已许，春衫犹是、小蛮针线，曾湿西湖雨"
2,"《哨遍·春词》
这些百岁，光阴几日，三万六千而已"
2,"《石炭歌》
为君铸作百炼刀，要斩长鲸为万段"
2,"《送晁美叔发运右司年兄赴阙》
我年二十无朋俦，当时四海一子由"
2,"《送李公择》
嗟予寡兄弟，四海一子由"
2,"《文说》
吾文如万斛泉源，不择地而出"
2,"《武昌酌菩萨泉送王子立》
何处低头不见我？四方同此水中天"
2,"《洗儿诗》
人皆养子望聪明，我被聪明误一生"
2,"《新城道中二首·其二》
人间岐路知多少，试向桑田问耦耕"
2,"《行香子·冬思》
有湖中月，江边柳，陇头云"
2,"《议学校贡举状》
得人之道，在于知人；知人之法，在于责实"
2,"《有美堂暴雨》
游人脚底一声雷，满座顽云拨不开"
2,"《又答王庠书》
若学成，八面受敌，与涉猎者不可同日而语也"
2,"《与莫同年雨中饮湖上》
还来一醉西湖雨，不见跳珠十五年"
2,"《纵笔》
报道先生春睡美，道人轻打五更钟"
2,"《醉落魄·席上呈元素》
故山犹负平生约，西望峨嵋，长羡归飞鹤"
1,"《被酒独行，遍至子云……三首·其一》
但寻牛矢觅归路，家在牛栏西复西"
1,"《表忠观碑》
匪私于钱，惟以劝忠。非忠无君，非孝无亲"
1,"《菜羹赋》
先生心平而气和，故虽老而体胖"
1,"《朝云诗》
予家有数妾，四五年相继辞去，独朝云者随予南迁"
1,"《沉香山子赋》
盖非独以饮东坡之寿，亦所以食黎人之芹也"
1,"《仇池笔记·二红饭》
老妻大笑日：“此新样二红饭也。”"
1,"《初入庐山三首》
如今不是梦，真个在庐山"
